"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	13	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	280	10890716	2.6
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	10	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	74	10890716	0.7
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	15	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	201	10890716	1.8
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	13	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	28	10890716	0.3
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	18	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	12	10890716	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	72	10890716	0.7
	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	91	10890716	0.8
"Total"	"35-39 years"	"35-39"	"Female"	"F"	"2021 (provisional)"	"2021"			6276	10890716	57.6
"Total"	"35-39 years"	"35-39"	"Female"	"F"					6276	10890716	57.6
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	339	10937588	3.1
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	374	10937588	3.4
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	13	10937588	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	35	10937588	0.3
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	15	10937588	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	10	10937588	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	24	10937588	0.2
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	24	10937588	0.2
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	126	10937588	1.2
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	29	10937588	0.3
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	65	10937588	0.6
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	136	10937588	1.2
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	871	10937588	8.0
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	112	10937588	1.0
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	125	10937588	1.1
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	258	10937588	2.4
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	23	10937588	0.2
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	832	10937588	7.6
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	4174	10937588	38.2
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	4442	10937588	40.6
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	225	10937588	2.1
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	38	10937588	0.3
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	16	10937588	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	103	10937588	0.9
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	67	10937588	0.6
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	1173	10937588	10.7
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	35	10937588	0.3
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	403	10937588	3.7
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	145	10937588	1.3
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	1051	10937588	9.6
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	61	10937588	0.6
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	77	10937588	0.7
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	58	10937588	0.5
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by crashing of motor vehicle"	"X82"	11	10937588	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by unspecified means"	"X84"	11	10937588	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Assault by drugs, medicaments and biological substances"	"X85"	16	10937588	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	35	10937588	0.3
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	148	10937588	1.4
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	148	10937588	1.4
	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"	"Sequelae of assault"	"Y87.1"	28	10937588	0.3
"Total"	"35-39 years"	"35-39"	"Male"	"M"	"2021 (provisional)"	"2021"			15947	10937588	145.8
"Total"	"35-39 years"	"35-39"	"Male"	"M"					15947	10937588	145.8
"Total"	"35-39 years"	"35-39"							22223	21828304	101.8
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	164	10199608	1.6
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	174	10199608	1.7
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	16	10199608	Unreliable
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	12	10199608	Unreliable
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	19	10199608	Unreliable
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	49	10199608	0.5
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	25	10199608	0.2
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	47	10199608	0.5
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	85	10199608	0.8
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	588	10199608	5.8
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	67	10199608	0.7
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	91	10199608	0.9
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	291	10199608	2.9
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	23	10199608	0.2
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	392	10199608	3.8
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	1209	10199608	11.9
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	1878	10199608	18.4
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	71	10199608	0.7
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	52	10199608	0.5
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	13	10199608	Unreliable
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	109	10199608	1.1
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	18	10199608	Unreliable
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	233	10199608	2.3
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	74	10199608	0.7
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	11	10199608	Unreliable
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	186	10199608	1.8
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	17	10199608	Unreliable
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	22	10199608	0.2
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	11	10199608	Unreliable
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	16	10199608	Unreliable
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	56	10199608	0.5
	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	69	10199608	0.7
"Total"	"40-44 years"	"40-44"	"Female"	"F"	"2021 (provisional)"	"2021"			6171	10199608	60.5
"Total"	"40-44 years"	"40-44"	"Female"	"F"					6171	10199608	60.5
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	399	10108280	3.9
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	479	10108280	4.7
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	24	10108280	0.2
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	45	10108280	0.4
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	14	10108280	Unreliable
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	14	10108280	Unreliable
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	19	10108280	Unreliable
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	32	10108280	0.3
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	47	10108280	0.5
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	116	10108280	1.1
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	43	10108280	0.4
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	64	10108280	0.6
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	150	10108280	1.5
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	1125	10108280	11.1
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	134	10108280	1.3
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	186	10108280	1.8
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	466	10108280	4.6
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	31	10108280	0.3
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	907	10108280	9.0
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	3692	10108280	36.5
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	3869	10108280	38.3
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	202	10108280	2.0
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	32	10108280	0.3
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	12	10108280	Unreliable
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	115	10108280	1.1
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	55	10108280	0.5
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	1002	10108280	9.9
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	21	10108280	0.2
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	394	10108280	3.9
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	144	10108280	1.4
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	946	10108280	9.4
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by smoke, fire and flames"	"X76"	12	10108280	Unreliable
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	76	10108280	0.8
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	63	10108280	0.6
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	49	10108280	0.5
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Assault by drugs, medicaments and biological substances"	"X85"	15	10108280	Unreliable
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	19	10108280	Unreliable
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	148	10108280	1.5
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	106	10108280	1.0
	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"	"Sequelae of assault"	"Y87.1"	26	10108280	0.3
"Total"	"40-44 years"	"40-44"	"Male"	"M"	"2021 (provisional)"	"2021"			15369	10108280	152.0
"Total"	"40-44 years"	"40-44"	"Male"	"M"					15369	10108280	152.0
"Total"	"40-44 years"	"40-44"							21540	20307888	106.1
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	163	10097702	1.6
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	217	10097702	2.1
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	15	10097702	Unreliable
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	13	10097702	Unreliable
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	12	10097702	Unreliable
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	61	10097702	0.6
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	27	10097702	0.3
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	40	10097702	0.4
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	86	10097702	0.9
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	741	10097702	7.3
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	89	10097702	0.9
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	85	10097702	0.8
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	407	10097702	4.0
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	19	10097702	Unreliable
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	393	10097702	3.9
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	992	10097702	9.8
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	1567	10097702	15.5
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	68	10097702	0.7
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	12	10097702	Unreliable
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	51	10097702	0.5
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	13	10097702	Unreliable
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	148	10097702	1.5
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	20	10097702	0.2
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	214	10097702	2.1
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	10	10097702	Unreliable
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	79	10097702	0.8
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	201	10097702	2.0
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	10	10097702	Unreliable
	"45-49 years"	"45-49"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	20	10097702	0.2
