"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	12	10774908	Unreliable
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	36	10322313	0.3
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	217	10774908	2.0
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Female"	"F"	15	10322313	Unreliable
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	183	10774908	1.7
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	74	10322313	0.7
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	569	10774908	5.3
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	19	10322313	Unreliable
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	50	10774908	0.5
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	32	10774908	0.3
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"Female"	"F"	11	10322313	Unreliable
	"15-19 years"	"15-19"	"2018"	"2018"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"Male"	"M"	18	10774908	Unreliable
	"15-19 years"	"15-19"	"2018"	"2018"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	10	10774908	Unreliable
	"15-19 years"	"15-19"	"2019"	"2019"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Female"	"F"	23	10308963	0.2
	"15-19 years"	"15-19"	"2019"	"2019"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	27	10745607	0.3
	"15-19 years"	"15-19"	"2019"	"2019"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	89	10308963	0.9
	"15-19 years"	"15-19"	"2019"	"2019"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	253	10745607	2.4
	"15-19 years"	"15-19"	"2019"	"2019"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	78	10308963	0.8
	"15-19 years"	"15-19"	"2019"	"2019"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	168	10745607	1.6
	"15-19 years"	"15-19"	"2019"	"2019"	"Accidental poisoning by and exposure to alcohol"	"X45"	"Female"	"F"	14	10308963	Unreliable
	"15-19 years"	"15-19"	"2019"	"2019"	"Accidental poisoning by and exposure to alcohol"	"X45"	"Male"	"M"	18	10745607	Unreliable
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Female"	"F"	28	10308963	0.3
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Male"	"M"	14	10745607	Unreliable
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	55	10308963	0.5
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	33	10745607	0.3
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	20	10745607	0.2
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	242	10308963	2.3
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	610	10745607	5.7
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	12	10745607	Unreliable
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	28	10308963	0.3
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	193	10745607	1.8
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Female"	"F"	11	10308963	Unreliable
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	145	10745607	1.3
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	90	10308963	0.9
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	528	10745607	4.9
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	18	10308963	Unreliable
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	60	10745607	0.6
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Female"	"F"	12	10308963	Unreliable
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	43	10745607	0.4
	"15-19 years"	"15-19"	"2019"	"2019"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"Male"	"M"	16	10745607	Unreliable
	"15-19 years"	"15-19"	"2019"	"2019"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	10	10745607	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Female"	"F"	25	10266332	0.2
	"15-19 years"	"15-19"	"2020 "	"2020"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	39	10694597	0.4
	"15-19 years"	"15-19"	"2020 "	"2020"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	201	10266332	2.0
	"15-19 years"	"15-19"	"2020 "	"2020"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	593	10694597	5.5
	"15-19 years"	"15-19"	"2020 "	"2020"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	143	10266332	1.4
	"15-19 years"	"15-19"	"2020 "	"2020"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	341	10694597	3.2
	"15-19 years"	"15-19"	"2020 "	"2020"	"Accidental poisoning by and exposure to alcohol"	"X45"	"Male"	"M"	19	10694597	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Female"	"F"	23	10266332	0.2
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	50	10266332	0.5
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	33	10694597	0.3
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	17	10694597	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"Male"	"M"	10	10694597	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	243	10266332	2.4
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	540	10694597	5.0
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by drowning and submersion"	"X71"	"Female"	"F"	10	10266332	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	16	10694597	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	29	10266332	0.3
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	191	10694597	1.8
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Female"	"F"	16	10266332	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	155	10694597	1.4
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	84	10266332	0.8
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	594	10694597	5.6
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	18	10266332	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	49	10694597	0.5
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Female"	"F"	14	10266332	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	36	10694597	0.3
	"15-19 years"	"15-19"	"2020 "	"2020"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"Male"	"M"	15	10694597	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Female"	"F"	10	10266332	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	22	10694597	0.2
	"15-19 years"	"15-19"	"2020 "	"2020"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Female"	"F"	12	10266332	Unreliable
	"15-19 years"	"15-19"	"2020 "	"2020"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Male"	"M"	13	10694597	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	"Male"	"M"	20	9492814	0.2
	"20-24 years"	"20-24"	"1999"	"1999"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Male"	"M"	26	9492814	0.3
	"20-24 years"	"20-24"	"1999"	"1999"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Female"	"F"	14	9098615	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	23	9492814	0.2
	"20-24 years"	"20-24"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	60	9098615	0.7
	"20-24 years"	"20-24"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	296	9492814	3.1
	"20-24 years"	"20-24"	"1999"	"1999"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	57	9098615	0.6
	"20-24 years"	"20-24"	"1999"	"1999"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	184	9492814	1.9
	"20-24 years"	"20-24"	"1999"	"1999"	"Accidental poisoning by and exposure to alcohol"	"X45"	"Male"	"M"	14	9492814	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Female"	"F"	12	9098615	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Male"	"M"	13	9492814	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	32	9098615	0.4
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	41	9492814	0.4
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Female"	"F"	13	9098615	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	86	9492814	0.9
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	76	9098615	0.8
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	456	9492814	4.8
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	14	9492814	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	26	9098615	0.3
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	228	9492814	2.4
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Female"	"F"	12	9098615	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	269	9492814	2.8
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	86	9098615	0.9
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	719	9492814	7.6
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by sharp object"	"X78"	"Male"	"M"	14	9492814	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	13	9098615	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	61	9492814	0.6
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	26	9492814	0.3
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by other specified means"	"X83"	"Male"	"M"	10	9492814	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Intentional self-harm by unspecified means"	"X84"	"Male"	"M"	13	9492814	Unreliable
	"20-24 years"	"20-24"	"1999"	"1999"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Female"	"F"	25	9098615	0.3
	"20-24 years"	"20-24"	"1999"	"1999"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	69	9492814	0.7
	"20-24 years"	"20-24"	"1999"	"1999"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Male"	"M"	29	9492814	0.3
	"20-24 years"	"20-24"	"1999"	"1999"	"Sequelae of assault"	"Y87.1"	"Male"	"M"	10	9492814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	"Male"	"M"	22	9687814	0.2
	"20-24 years"	"20-24"	"2000"	"2000"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Male"	"M"	11	9687814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Male"	"M"	39	9687814	0.4
	"20-24 years"	"20-24"	"2000"	"2000"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"	"F19.2"	"Male"	"M"	13	9687814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Female"	"F"	16	9276187	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	34	9687814	0.4
	"20-24 years"	"20-24"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	66	9276187	0.7
	"20-24 years"	"20-24"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	338	9687814	3.5
	"20-24 years"	"20-24"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	67	9276187	0.7
	"20-24 years"	"20-24"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	225	9687814	2.3
	"20-24 years"	"20-24"	"2000"	"2000"	"Accidental poisoning by and exposure to alcohol"	"X45"	"Male"	"M"	10	9687814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"Female"	"F"	14	9276187	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Male"	"M"	12	9687814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Male"	"M"	13	9687814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	29	9276187	0.3
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	35	9687814	0.4
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	53	9687814	0.5
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	72	9276187	0.8
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	548	9687814	5.7
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	13	9687814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	29	9276187	0.3
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	223	9687814	2.3
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Female"	"F"	10	9276187	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	244	9687814	2.5
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	81	9276187	0.9
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	783	9687814	8.1
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by sharp object"	"X78"	"Male"	"M"	11	9687814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	20	9276187	0.2
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	51	9687814	0.5
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	38	9687814	0.4
	"20-24 years"	"20-24"	"2000"	"2000"	"Intentional self-harm by unspecified means"	"X84"	"Male"	"M"	13	9687814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	"Male"	"M"	11	9687814	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Female"	"F"	14	9276187	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	61	9687814	0.6
	"20-24 years"	"20-24"	"2000"	"2000"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Female"	"F"	15	9276187	Unreliable
	"20-24 years"	"20-24"	"2000"	"2000"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Male"	"M"	23	9687814	0.2
	"20-24 years"	"20-24"	"2001"	"2001"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	"Male"	"M"	23	10080336	0.2
	"20-24 years"	"20-24"	"2001"	"2001"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	"Male"	"M"	32	10080336	0.3
	"20-24 years"	"20-24"	"2001"	"2001"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Female"	"F"	12	9676950	Unreliable
	"20-24 years"	"20-24"	"2001"	"2001"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	37	10080336	0.4
	"20-24 years"	"20-24"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	80	9676950	0.8
	"20-24 years"	"20-24"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	380	10080336	3.8
	"20-24 years"	"20-24"	"2001"	"2001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	81	9676950	0.8
	"20-24 years"	"20-24"	"2001"	"2001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	291	10080336	2.9
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Female"	"F"	11	9676950	Unreliable
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"Male"	"M"	11	10080336	Unreliable
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Female"	"F"	14	9676950	Unreliable
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	43	9676950	0.4
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	49	10080336	0.5
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	61	10080336	0.6
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	84	9676950	0.9
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	600	10080336	6.0
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	23	10080336	0.2
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	28	9676950	0.3
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	212	10080336	2.1
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	231	10080336	2.3
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	63	9676950	0.7
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	749	10080336	7.4
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by sharp object"	"X78"	"Male"	"M"	19	10080336	Unreliable
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	12	9676950	Unreliable
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	35	10080336	0.3
	"20-24 years"	"20-24"	"2001"	"2001"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	28	10080336	0.3
